MonDay,Area,City,WeatherConDay,WindDirDay,WindSpdDay,MaxTmp,WeatherConNight,WindDirNight,WindSpdNight,MinTmp
6月19日,华北,北京,-,-,-,-,多云,南风,3-4级,24
6月19日,华北,海淀,-,-,-,-,多云,南风,3-4级,23
6月19日,华北,朝阳,-,-,-,-,多云,南风,3-4级,24
6月19日,华北,顺义,-,-,-,-,多云,南风,<3级,23
6月19日,华北,怀柔,-,-,-,-,多云,南风,<3级,21
6月19日,华北,通州,-,-,-,-,多云,西南风,<3级,22
6月19日,华北,昌平,-,-,-,-,多云,南风,<3级,23
6月19日,华北,延庆,-,-,-,-,多云,东南风,<3级,20
6月19日,华北,丰台,-,-,-,-,多云,南风,3-4级,24
6月19日,华北,石景山,-,-,-,-,多云,南风,<3级,23
6月19日,华北,大兴,-,-,-,-,多云,南风,3-4级,23
6月19日,华北,房山,-,-,-,-,多云,南风,3-4级,23
6月19日,华北,密云,-,-,-,-,多云,南风,<3级,21
6月19日,华北,门头沟,-,-,-,-,多云,南风,<3级,23
6月19日,华北,平谷,-,-,-,-,多云,南风,<3级,22
6月19日,华北,东城,-,-,-,-,多云,南风,3-4级,24
6月19日,华北,西城,-,-,-,-,多云,南风,3-4级,23
6月19日,华北,天津,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,武清,-,-,-,-,多云,西南风,<3级,23
6月19日,华北,宝坻,-,-,-,-,多云,西南风,<3级,23
6月19日,华北,东丽,-,-,-,-,多云,西南风,<3级,22
6月19日,华北,西青,-,-,-,-,多云,西南风,<3级,23
6月19日,华北,北辰,-,-,-,-,多云,西南风,<3级,23
6月19日,华北,宁河,-,-,-,-,多云,西南风,<3级,23
6月19日,华北,和平,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,静海,-,-,-,-,多云,西南风,3-4级,23
6月19日,华北,津南,-,-,-,-,多云,西南风,<3级,23
6月19日,华北,滨海新区,-,-,-,-,多云,西南风,3-4级,23
6月19日,华北,河东,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,河西,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,蓟州,-,-,-,-,多云,西南风,<3级,22
6月19日,华北,南开,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,河北,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,红桥,-,-,-,-,多云,西南风,<3级,24
6月19日,华北,石家庄,-,-,-,-,晴,北风,<3级,22
6月19日,华北,保定,-,-,-,-,晴,南风,<3级,20
6月19日,华北,张家口,-,-,-,-,多云,东南风,<3级,18
6月19日,华北,承德,-,-,-,-,多云,无持续风向,<3级,17
6月19日,华北,唐山,-,-,-,-,晴,西南风,<3级,21
6月19日,华北,廊坊,-,-,-,-,晴,西南风,3-4级,22
6月19日,华北,沧州,-,-,-,-,多云,西南风,3-4级,22
6月19日,华北,衡水,-,-,-,-,晴,南风,<3级,23
6月19日,华北,邢台,-,-,-,-,多云,南风,3-4级,21
6月19日,华北,邯郸,-,-,-,-,多云,南风,3-4级,20
6月19日,华北,秦皇岛,-,-,-,-,晴,西南风,3-4级,20
6月19日,华北,雄安新区,-,-,-,-,多云,南风,<3级,22
6月19日,华北,太原,-,-,-,-,晴,西南风,<3级,17
6月19日,华北,大同,-,-,-,-,晴,南风,<3级,14
6月19日,华北,阳泉,-,-,-,-,晴,西北风,<3级,17
6月19日,华北,晋中,-,-,-,-,晴,西南风,<3级,17
6月19日,华北,长治,-,-,-,-,多云,西南风,3-4级,16
6月19日,华北,晋城,-,-,-,-,多云,西风,<3级,17
6月19日,华北,临汾,-,-,-,-,晴,南风,<3级,21
6月19日,华北,运城,-,-,-,-,多云,东南风,<3级,19
6月19日,华北,朔州,-,-,-,-,晴,西风,<3级,15
6月19日,华北,忻州,-,-,-,-,晴,南风,<3级,17
6月19日,华北,吕梁,-,-,-,-,晴,南风,<3级,15
6月19日,华北,呼和浩特,-,-,-,-,多云,西南风,<3级,19
6月19日,华北,包头,-,-,-,-,晴,南风,<3级,19
6月19日,华北,乌海,-,-,-,-,多云,南风,3-4级,19
6月19日,华北,乌兰察布,-,-,-,-,多云,西南风,3-4级,15
6月19日,华北,通辽,-,-,-,-,晴,南风,3-4级,21
6月19日,华北,赤峰,-,-,-,-,晴,西南风,<3级,20
6月19日,华北,鄂尔多斯,-,-,-,-,晴,南风,3-4级,20
6月19日,华北,巴彦淖尔,-,-,-,-,晴,南风,<3级,19
6月19日,华北,锡林郭勒,-,-,-,-,晴,西南风,3-4级,18
6月19日,华北,呼伦贝尔,-,-,-,-,阵雨,东南风,<3级,13
6月19日,华北,兴安盟,-,-,-,-,阵雨,南风,3-4级,17
6月19日,华北,阿拉善盟,-,-,-,-,晴,东南风,4-5级,20
6月20日,华北,北京,多云,南风,3-4级,34,多云,南风,3-4级,25
6月20日,华北,海淀,多云,南风,3-4级,35,多云,南风,3-4级,24
6月20日,华北,朝阳,多云,南风,<3级,34,多云,南风,3-4级,25
6月20日,华北,顺义,多云,南风,<3级,34,多云,南风,3-4级,25
6月20日,华北,怀柔,雷阵雨,南风,<3级,34,多云,西南风,<3级,22
6月20日,华北,通州,多云,西南风,<3级,34,多云,南风,3-4级,22
6月20日,华北,昌平,雷阵雨,东南风,<3级,34,多云,东南风,<3级,24
6月20日,华北,延庆,雷阵雨,东南风,<3级,32,多云,东风,<3级,20
6月20日,华北,丰台,多云,西南风,3-4级,35,多云,西南风,3-4级,25
6月20日,华北,石景山,多云,南风,<3级,34,多云,西南风,3-4级,24
6月20日,华北,大兴,多云,南风,3-4级,34,多云,南风,3-4级,24
6月20日,华北,房山,多云,南风,3-4级,34,多云,西南风,3-4级,24
6月20日,华北,密云,多云,南风,<3级,34,多云,南风,<3级,22
6月20日,华北,门头沟,多云,南风,<3级,34,多云,西南风,3-4级,24
6月20日,华北,平谷,多云,南风,<3级,34,多云,南风,<3级,23
6月20日,华北,东城,多云,南风,<3级,34,多云,南风,3-4级,25
6月20日,华北,西城,多云,南风,3-4级,35,多云,南风,3-4级,24
6月20日,华北,天津,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,武清,晴,西南风,3-4级,36,晴,西南风,3-4级,25
6月20日,华北,宝坻,晴,西南风,3-4级,35,晴,西南风,3-4级,23
6月20日,华北,东丽,晴,西南风,3-4级,35,晴,西南风,3-4级,25
6月20日,华北,西青,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,北辰,晴,西南风,3-4级,36,晴,西南风,3-4级,25
6月20日,华北,宁河,晴,南风,3-4级,32,晴,西南风,<3级,23
6月20日,华北,和平,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,静海,晴,西南风,3-4级,36,晴,西南风,3-4级,24
6月20日,华北,津南,晴,西南风,3-4级,34,晴,西南风,3-4级,26
6月20日,华北,滨海新区,晴,南风,4-5级,33,晴,西南风,3-4级,26
6月20日,华北,河东,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,河西,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,蓟州,晴,南风,3-4级,35,晴,西南风,<3级,22
6月20日,华北,南开,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,河北,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,红桥,晴,西南风,3-4级,36,晴,西南风,3-4级,26
6月20日,华北,石家庄,晴,南风,4-5级,34,晴,北风,<3级,23
6月20日,华北,保定,多云,南风,3-4级,34,多云,南风,<3级,21
6月20日,华北,张家口,多云,东南风,<3级,33,多云,东南风,<3级,19
6月20日,华北,承德,多云,无持续风向,<3级,33,多云,无持续风向,<3级,19
6月20日,华北,唐山,晴,西南风,3-4级,34,晴,西南风,<3级,22
6月20日,华北,廊坊,多云,西南风,<3级,35,多云,西南风,<3级,23
6月20日,华北,沧州,多云,西南风,4-5级,35,多云,西南风,3-4级,23
6月20日,华北,衡水,晴,南风,3-4级,35,晴,南风,3-4级,22
6月20日,华北,邢台,晴,南风,4-5级,32,晴,南风,3-4级,22
6月20日,华北,邯郸,多云,南风,4-5级,31,多云,南风,<3级,20
6月20日,华北,秦皇岛,晴,西南风,4-5级,31,晴,西南风,3-4级,20
6月20日,华北,雄安新区,晴,南风,3-4级,35,晴,南风,<3级,23
6月20日,华北,太原,晴,南风,<3级,32,晴,南风,<3级,17
6月20日,华北,大同,小雨,南风,3-4级,32,多云,西风,<3级,17
6月20日,华北,阳泉,小雨,东南风,3-4级,33,晴,南风,<3级,18
6月20日,华北,晋中,晴,东南风,3-4级,32,晴,南风,3-4级,17
6月20日,华北,长治,多云,南风,3-4级,28,多云,南风,3-4级,16
6月20日,华北,晋城,阴,南风,3-4级,28,多云,东南风,<3级,18
6月20日,华北,临汾,多云,南风,<3级,31,多云,东南风,<3级,21
6月20日,华北,运城,小雨,东南风,3-4级,28,多云,东南风,<3级,20
6月20日,华北,朔州,小雨,西南风,<3级,33,多云,南风,<3级,17
6月20日,华北,忻州,小雨,东南风,<3级,33,晴,东南风,<3级,17
6月20日,华北,吕梁,多云,南风,<3级,32,晴,南风,<3级,17
6月20日,华北,呼和浩特,晴,西南风,<3级,34,多云,西南风,<3级,18
6月20日,华北,包头,晴,南风,3-4级,34,阴,南风,<3级,18
6月20日,华北,乌海,晴,南风,3-4级,35,阴,南风,3-4级,21
6月20日,华北,乌兰察布,多云,西南风,3-4级,30,多云,南风,3-4级,16
6月20日,华北,通辽,多云,南风,3-4级,37,晴,南风,3-4级,21
6月20日,华北,赤峰,晴,西南风,<3级,34,小雨,西南风,3-4级,20
6月20日,华北,鄂尔多斯,晴,南风,4-5级,31,多云,南风,3-4级,20
6月20日,华北,巴彦淖尔,晴,南风,<3级,34,晴,南风,<3级,20
6月20日,华北,锡林郭勒,晴,西南风,4-5级,35,晴,东北风,3-4级,19
6月20日,华北,呼伦贝尔,多云,西北风,3-4级,26,多云,西北风,<3级,12
6月20日,华北,兴安盟,雷阵雨,南风,3-4级,28,阵雨,东北风,3-4级,17
